ID	Epoch Day	Weekday	Date	When	Event	Tag
id=illuminati-1345	-9129	Fri 1 January 1875	01/01/1875	1875 AD.	'Whiskey Ring' conspiracy of distillery owners revealed.	#illuminati
id=illuminati-1348	-9129	Fri 1 January 1875	01/01/1875	1875 to 1947 AD.	Life of Aleister Crowley, the Great Beast, Golden Dawn leader and occult figure.	#illuminati
id=illuminati-1351	-9129	Fri 1 January 1875	01/01/1875	1875 AD.	Madam Blavatsky founds Theosophy Society.	#illuminati
id=illuminati-1354	-9129	Fri 1 January 1875	01/01/1875	1875 AD.	Mary Baker Eddy's Science and Health published.	#illuminati
id=illuminati-1357	-8764	Sat 1 January 1876	01/01/1876	1876 AD.	Battle of the Little Big Horn.	#illuminati
id=illuminati-1360	-8764	Sat 1 January 1876	01/01/1876	1876 AD.	Bell patents telephone.	#illuminati
id=illuminati-1363	-8764	Sat 1 January 1876	01/01/1876	1876 AD.	Disraeli again warns about dangers of secret societies.	#illuminati
id=illuminati-1366	-8764	Sat 1 January 1876	01/01/1876	1876 AD.	Otto builds four-cycle gasoline engine.	#illuminati
id=illuminati-1369	-8398	Mon 1 January 1877	01/01/1877	1877 AD.	First of seven wills in which Cecil Rhodes leaves his money to establish a secret society to expand British rule throughout the world.	#illuminati
id=illuminati-1372	-8033	Tue 1 January 1878	01/01/1878	1878 to 1945 AD.	Life of Edgar Cayce, visionary, trance-channeler who spoke of reincarnation, Egyptian mysteries, and Atlantis.	#illuminati
id=illuminati-1375	-6937	Sat 1 January 1881	01/01/1881	1881 AD.	Czar Alexander II assassinated by secret society.	#illuminati
id=illuminati-1378	-6937	Sat 1 January 1881	01/01/1881	1881 AD.	Disraeli publishes Lothair, a novel about secret societies and European politics.	#illuminati
id=illuminati-1381	-6937	Sat 1 January 1881	01/01/1881	1881 AD.	Garfield assassinated.	#illuminati
id=illuminati-1384	-5842	Tue 1 January 1884	01/01/1884	1884 AD.	Fabian Society founded in London by Sidney and Beatrice Webb and others.	#illuminati
id=illuminati-1387	-5476	Thu 1 January 1885	01/01/1885	1885 AD.	First practical horseless carriage built by Daimler.	#illuminati
id=illuminati-1390	-4746	Sat 1 January 1887	01/01/1887	1887 AD.	Golden Dawn founded in London by Mathers and others.	#illuminati
id=illuminati-1393	-4746	Sat 1 January 1887	01/01/1887	1887 AD.	Michaelson-Morley experiment disproving ether theory.	#illuminati
id=illuminati-1396	-4381	Sun 1 January 1888	01/01/1888	1888 AD.	Unsolved murders of London prostitutes by 'Jack the Ripper,' suspected of being one of those implicated in the Cleveland Street Affair involving high-society Victorians and their patronage of a brothel staffed by messenger boys.	#illuminati
id=illuminati-1399	-4015	Tue 1 January 1889	01/01/1889	1889 AD.	Second Communist International organized.	#illuminati
id=illuminati-1402	-3650	Wed 1 January 1890	01/01/1890	1890 AD.	Biologist Yersin visits India, purportedly to receive plague and cholera serum from the Nine Unknown.	#illuminati
id=illuminati-1405	-3650	Wed 1 January 1890	01/01/1890	1890 AD.	Wounded Knee massacre.	#illuminati
id=illuminati-1408	-3285	Thu 1 January 1891	01/01/1891	1891 AD.	Nikola Tesla invents Tesla coil, becomes U.S. citizen.	#illuminati
id=illuminati-1411	-3285	Thu 1 January 1891	01/01/1891	1891 AD.	Rhodes gains control of 90% of world's diamond supply.	#illuminati
id=illuminati-1414	-3285	Thu 1 January 1891	01/01/1891	1891 AD.	Rockefeller grant founds University of Chicago.	#illuminati
id=illuminati-1417	-3285	Thu 1 January 1891	01/01/1891	1891 AD.	The Round Tables, a secret society allegedly funded by Rhodes and the Rothschild's to gain financial and political power, founded in the U.S., Canada, Australia, India, South Africa and New Zealand.	#illuminati
id=illuminati-1420	-2920	Fri 1 January 1892	01/01/1892	1892 AD.	Rockefeller trust transferred to holding company: Standard Oil of New Jersey.	#illuminati
id=illuminati-1423	-2554	Sun 1 January 1893	01/01/1893	1893 AD.	Assassination of Chicago Mayor Harrison.	#illuminati
id=illuminati-1426	-2189	Mon 1 January 1894	01/01/1894	1894 AD.	Assassination of President Carnot of France.	#illuminati
id=illuminati-1429	-1459	Wed 1 January 1896	01/01/1896	1896 AD.	First 'flap year' for UFOs; wave of sightings of unidentified airships in U.S.	#illuminati
id=illuminati-1432	-1459	Wed 1 January 1896	01/01/1896	1896 AD.	Marconi's patent No. 7777 for radio.	#illuminati
id=illuminati-1435	-1093	Fri 1 January 1897	01/01/1897	1897 AD.	Assassination of Premier Canovas of Spain.	#illuminati
id=illuminati-1438	-1093	Fri 1 January 1897	01/01/1897	1897 AD.	Zionism founded in Basil, Switzerland by Theodore Herzl.	#illuminati
id=illuminati-1441	-728	Sat 1 January 1898	01/01/1898	1898 AD.	Assassination of Empress Elizabeth of Austria.	#illuminati
id=illuminati-1444	-728	Sat 1 January 1898	01/01/1898	1898 AD.	Pavlov begins study of conditioned reflex in dogs.	#illuminati
id=illuminati-1447	-363	Sun 1 January 1899	01/01/1899	1899 AD.	Alleged meeting in England at which the Morgan's, Rothschild's and Warburg's become affiliated.	#illuminati
id=illuminati-1450	-363	Sun 1 January 1899	01/01/1899	1899 AD.	Tesla discovers terrestrial stationary waves which can produce electricity; reports receiving signals from another planet.	#illuminati
